age,Sex,Family,nameofcancer,agecancer,whoaffected,dept,post,dgraduation,selfcanh,nameselfcan,durationscan,awarnesscans,namecancers,usefullnesscansc,breastcansc,agebrcans,brcansi,attbrcans,brcaprac,doBSE,bseinterval,mamography,inmamo,brcanscfam,famlibrcansc,brcanspa,brcanscptin,cercans,agecer,intercer,atticer,viapap,viado,intervia,cerfami,interfamcer,cerviscpt,intercerpt,coloncan,agecolocans,intecolocas,atticolcans,docolonoscopy,intercolonos,colofamily,intercolonfamil,coloncanpt,intercolonspt,proscans,ageproscs,interproscs,attiproscs,psadre,interpsadre,familyproscs,iprosf,proscansp,interprospt
 ,1,2, , , ,11,8, ,2, , ,1, ,1,2, , ,1,1,2, ,2, ,1, ,2,1,2,50,4,1,2,2, ,2, ,2, ,1,40,3,1,1,2,2, ,2, ,1,35,2,1,2, ,2, ,2, 
30,1,2, , , ,11,8, ,2, , ,1, ,1,2, , ,1,1,2, ,2, ,1,1,2, ,1,51,4,1,2,2, ,2, ,2, ,1,40,3,1,1,2,2, ,2, ,1,35,2,1,2, ,2, ,2, 
39,1, , , , , ,4,13,2, , ,1, ,1,1,30,4,1,2,2, ,2, ,2, ,2, ,2, , ,1,1,2, ,2, ,2, ,1,25,3,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
52,1,2, , , , ,2,22,2, , ,1, ,1,1,40,2,1,1,2, ,2, ,2, ,1, ,1,30,4,1,1,2, ,2, , , ,1,35,3,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,2, 
46, , , , , ,20,3, ,1, , ,1, ,1,1,40,3,1,1,1,2,1, ,2, ,1,2,1,30,3,1,1,1,2,2, ,1,2,1,25,3,1,2, ,2, ,2, ,1,40,2,1,2, ,2, ,1,1
30,1,2, , , ,11,8, ,2, , ,2, ,1,2, , ,1,1,2, ,2, ,1,1,2, ,2,51,4,1,2,2, ,2, ,2, ,1,41,3,1,1,2,2, ,2, ,1,35,2,1,2, ,2, ,2, 
39,1,2, , , , ,4,9,1,ovareon, ,2, ,1,1,30,1,1,2,1, ,2, ,1, ,1,1,2,40,4, ,1,2, ,2, ,2, ,1,50,4,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
31,1,1,ovareon, ,anuty,10,8,3,2, , ,1, ,1,1,30,1,1,2,1, ,2, ,1,1,1,1,2,41,4,1,2,2, ,2, ,1, ,1,51,4,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
34,1,2, , , ,2,6,5,2, , ,1,breast,1,1,21,1,1,1,2, ,2, ,1,1,1,1,1,41,1,1,1,1,2,2, ,1,2,2, , ,1,1,3,2, ,1,3,1,45,4,1,2, ,2, ,2, 
37,2,2, , , ,3,8, ,2, , ,1,breast,1,1,21,1,1,1,2, ,2, , , ,1,1,1,41,1,1,1,1,2,2, ,1,2,2, , ,1,1,3,2, ,1,3,1,45,4,1,2, ,2, ,2, 
34,1,2, , , ,20,8,10,2, , ,1, ,1,1,30,3,1,1,2, ,2, ,2, ,2, ,2, , ,1,1,2, ,2, ,1, ,1,41,2,1,1, ,2, ,2, ,1,31,3,1,1, ,2, ,2, 
36,1, , , , ,12,6,9,2, , ,1, ,1,1,30,3,1,1,2, ,2, ,2, ,2, ,2, , ,1,1,2, ,2, ,1, ,1,45,3,1,2, ,2, ,2, ,1,35,3,1,2, ,2, ,2, 
44,1,2, , , ,2,3,16, , , ,1,colon,1,1,25,2,1,1,2, ,2, ,1,2,1,2,1,25,3,1,1,2, ,1,3,1,3,1,40,2,1,2, ,1,2,1,2,1,45,3,1,2, ,1,3,1,3
34,1, , , , ,3,8,6,2, , ,1,prostate,1,1,30,3,1,1,2, ,2, ,1,3,1,3,1,21,2,1,1,2, ,1,2,1,2,1,45,2,1,2, ,1,2,1,2,1,55,3,1,2, ,1,2,1,2
51,1, , , , ,4,2,24,2, , ,1,breast,2,1,30,2,1,1,2, ,2, ,1,3,1,3,1,25,3,1,1,2, ,1,3,1,3,1,40,2,1,2, ,1,2,1,2,1,50,2,2,2, ,2, ,2, 
34,1,2, , , ,11,8, ,2, , ,2, ,1,1,21,3,1,2,2, ,2, ,1,3,1,3,1,21,2,1,1,2, ,2, ,2, ,1,40,2,1,2, ,1,2,1,2,1,55,2,1,2, ,1,2,1,2
41,1,2, , , , ,6,12, , , ,2, ,1,1,25,3,1,1,2, ,2, ,1, ,1, ,1,30,2,1,1,2, ,2, ,1, ,1,25,2,1,2, ,2, ,2, ,1,40,1,2,2, ,2, ,2, 
33,2,2, , , ,9,8, , , , ,1,breast,1,1,23,3,1,1,2, ,2, ,1, ,1, ,1,25,3,1,1,2, ,1,2,1,2,1,45,3,1,2, ,1,3,1,3,1,50,2,1,2, ,1,2,1,2
38,1,2, , , , ,4, , , , ,2, ,1,1,23,2,1,1,2, ,2, ,1, ,1, ,1,25,2,1,1,2, ,1,2,1,2,1,30,2,1,2, ,1,2,1,2,1,45,2,1,2, ,2, ,2, 
44,1,2, , , , ,4,16,2, , ,1,breast,1,2,25,3,1,1,2, ,2, ,1,3,1,3,1,21,2,1,1,2, ,1,2,1,2,1,45,5,1,2, ,1,2,1,2,1,55,2,1,2, ,1,2,1,2
38,1,2, , , ,11,6,10,2, , ,1,breast,1,1,21,3,1,1,2, ,2, ,1,3,1,3,1,21,3,1,1,2, ,1,3,1,3,1,40,3,1,2, ,1,3,1,3,1,55,3,1,2, ,1,2,1,2
32,1,2, , , ,10,8,4,2, , ,1,breast,1,1,25,2,1,1,2, ,2, ,1,3,1,3,1,25,3,1,2,2, ,2, ,2, ,1,40,3,1,2, ,2, ,2, ,1,50,2,1,1, ,2,3,1,3
46,1,2, , , ,10,3, ,2, , ,1,prostate,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,21,3,1,1,2, ,1,3,1,3,1,40,2,1,2, ,1,2,1,2,1,55,2,1,2, ,2, ,2, 
49,1,2, , , , ,3, ,2, , ,1,breast,1,1,30,3,1,1,2, ,2, ,1,3,1,3,1,21,3,1,1,2, ,1,3,1,3,1,40,3,1,2, ,1,3,1,3,1,50,2,1,2, ,2, ,2, 
39,2, , , , ,11,6,12,2, , ,1,breast,1,1,25,3,1,1,2, ,1,2,1,2,1,2,1,21,2,1,1,2, ,1,3,1,3,1,40,3,1,2, ,1,3,1,3,1,50,2,1,2, ,1,2,1,2
35,1,2, , , ,1,8, , , , ,1,cervix,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,21,2,1,1,2, ,1,2,1,2,1,40,3,1,2, ,1,3,1,3,1,40,1,1,2, ,2, ,2, 
40,1,2, , , ,1,5,10,2, , ,1, ,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,21,3,1,2,2, ,1,3,1,3,1,40,3,1,2, ,2, ,2, ,1,45,4,1,2, ,1,3,1,3
36,2,2, , , ,7,7,8,2, , ,1, ,1,2,25,3,1,1,2, ,2, ,1,3,1,3,1,30,3,1,2,2, ,1,3,1,3,2,35,3,1,2, ,1,3,1,3,1,45,3,1,2, ,1,3,1,3
36,1,1,colon,50, , ,8,7,2, , ,1,colon,1,1,25,3,1,2,2, ,2, ,1,3,1,3,1,30,3,1,2,2, ,2, ,2, ,1,45,3,1,2, ,1,3,2,3,1,25,5,1,2, ,2, ,2, 
38,1,2, , , ,9,8, ,1, , ,2, ,1,1,20,2,1,2,2, ,2, ,1,2,1,2,1,25,3,1,1,2, ,2,3,2,3,1,40,3,1,2, ,2, ,2, ,1,30,3,1,2, ,2, ,2, 
42,2,2, , , , ,4,14,2, , ,1,breast,1,1,25,3,1,1,2, ,1,3,1,3,1,3,1,21,3,1,1,2, ,1,3,1,3,1,30,3,1,2, ,1,5,1,5,1,40,5,1,2, ,1,5,1,5
